תאריך,נייר/תנועה,מס' נייר/תנועה,פעולה,כמות,מחיר,זכות נטו,חובה נטו,עמלה,יתרה,אסמכתא
31 בינו׳ 2018,31/01/18 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,116.15,0
31 בינו׳ 2018,מגן מס,9993983,הפקדה,3.74,100,0,0,0,116.15,0
28 בפבר׳ 2018,28/02/18 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,101.15,0
28 בפבר׳ 2018,מגן מס,9993983,הפקדה,3.75,100,0,0,0,101.15,0
4 במרץ 2018,14  הפקדה לבנק,900,העברה,0,0,30000,0,0,30101.15,1
4 במרץ 2018,14  הפקדה לבנק,900,העברה,0,0,20000,0,0,50101.15,1
19 במרץ 2018,"IWVL LN  ע.מט""ח",99028,מש/עמל,30,346.8,0,0,0,50101.15,0
19 במרץ 2018,IWVL L $התחיבות,99218,משיכה,3445.4,346.8,0,0,0,50101.15,77002
19 במרץ 2018,"125 תכלית ת""א",5114657,קניה,3970,119.48,0,4748.36,5,45352.79,5555
19 במרץ 2018,S&P 500 איביאי,5117601,קניה,6381,186.16,0,11888.37,9.5,33464.42,5555
19 במרץ 2018,S&P 500 איביאי,5117601,קניה,6381,185.8,0,11865.38,9.48,21599.04,0
19 במרץ 2018,S&P 500 איביאי,5117601,קניה,-6381,186.16,0,-11888.37,-9.5,33487.41,0
19 במרץ 2018,RUSSEL 2000 MTF,5118344,קניה,5085,152.42,0,7756.76,6.2,25730.65,5555
19 במרץ 2018,RUSSEL 2000 MTF,5118344,קניה,-5085,152.42,0,-7756.76,-6.2,33487.41,0
19 במרץ 2018,RUSSEL 2000 MTF,5118344,קניה,5085,153.4,0,7806.63,6.24,25680.78,0
19 במרץ 2018,MSCI איביאי סל,5119318,קניה,5962,119.51,0,7130.89,5.7,18549.89,5555
19 במרץ 2018,MSCI איביאי סל,5119318,קניה,5962,119.04,0,7102.84,5.68,11447.05,0
19 במרץ 2018,MSCI איביאי סל,5119318,קניה,-5962,119.51,0,-7130.89,-5.7,18577.94,0
19 במרץ 2018,איביאי ריט ארהב,5122692,קניה,5964,101.52,0,6059.65,5,12518.29,5555
19 במרץ 2018,איביאי ריט ארהב,5122692,קניה,-5964,101.52,0,-6059.65,-5,18577.94,0
19 במרץ 2018,איביאי ריט ארהב,5122692,קניה,5964,102.14,0,6096.63,5,12481.31,0
19 במרץ 2018,ISHARES E(IWVL),60430493,"ק/חו""ל",107,3220,0,0,0,12481.31,77002
20 במרץ 2018,B USD/ILS 3.506,99028,קניה,3475.4,350.63,0,12185.7,0,295.61,0
21 במרץ 2018,IWVL L   $ דולר,99028,משיכה,3445.4,346.8,0,0,0,295.61,77002
21 במרץ 2018,IWVL L $התחיבות,99218,משיכה,-3445.4,346.8,0,0,0,295.61,77002
30 באפר׳ 2018,30/04/18 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,280.61,0
30 באפר׳ 2018,מגן מס,9993983,הפקדה,3.75,100,0,0,0,280.61,0
31 במאי 2018,31/05/18 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,265.61,0
31 במאי 2018,מגן מס,9993983,הפקדה,3.75,100,0,0,0,265.61,0
30 ביוני 2018,30/06/18 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,250.61,0
30 ביוני 2018,מגן מס,9993983,הפקדה,3.75,100,0,0,0,250.61,0
31 ביולי 2018,31/07/18 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,235.61,0
31 ביולי 2018,מגן מס,9993983,הפקדה,3.75,100,0,0,0,235.61,0
31 באוג׳ 2018,31/08/18 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,220.61,0
31 באוג׳ 2018,מגן מס,9993983,הפקדה,3.75,100,0,0,0,220.61,0
7 בספט׳ 2018,14  הפקדה לבנק,900,העברה,0,0,10000,0,0,10220.61,113632
17 בספט׳ 2018,"IWVL LN  ע.מט""ח",99028,מש/עמל,30,358.3,0,0,0,10220.61,0
17 בספט׳ 2018,IWVL L $התחיבות,99218,משיכה,817.7,358.3,0,0,0,10220.61,77001
17 בספט׳ 2018,S&P 500 איביאי,5117601,קניה,836,205.52,0,1723.15,5,8497.46,5555
17 בספט׳ 2018,S&P 500 איביאי,5117601,קניה,836,205,0,1718.8,5,6778.66,0
17 בספט׳ 2018,S&P 500 איביאי,5117601,קניה,-836,205.52,0,-1723.15,-5,8501.81,0
17 בספט׳ 2018,MSCI איביאי סל,5119318,קניה,3640,106,0,3863.4,5,4638.41,5555
17 בספט׳ 2018,MSCI איביאי סל,5119318,קניה,3640,105.35,0,3839.74,5,798.67,0
17 בספט׳ 2018,MSCI איביאי סל,5119318,קניה,-3640,106,0,-3863.4,-5,4662.07,0
17 בספט׳ 2018,2ר.קבע5-2 ס MTF,5122973,קניה,1277,101.83,0,1305.37,5,3356.7,5555
17 בספט׳ 2018,ISHARES E(IWVL),60430493,"ק/חו""ל",26,3145,0,0,0,3356.7,77001
19 בספט׳ 2018,IWVL L   $ דולר,99028,משיכה,817.7,358.3,0,0,0,3356.7,77001
19 בספט׳ 2018,IWVL L $התחיבות,99218,משיכה,-817.7,358.3,0,0,0,3356.7,77001
20 בספט׳ 2018,B USD/ILS 3.607,99028,קניה,847.7,360.78,0,3058.3,0,298.4,0
27 בספט׳ 2018,"IWVL LN  ע.מט""ח",99028,מש/עמל,30,359.9,0,0,0,298.4,0
27 בספט׳ 2018,IWVL L   $ לקבל,99226,הפקדה,7973.2,359.9,0,0,0,298.4,77001
27 בספט׳ 2018,טבע,629014,מ/רצף,14,7973,1113.87,0,2.35,1412.27,629014
27 בספט׳ 2018,מס עתידי,9992985,הפקדה,126.71,100,0,0,0,1412.27,0
27 בספט׳ 2018,ISHARES E(IWVL),60430493,"מ/חו""ל",248,3215,0,0,0,1412.27,77001
30 בספט׳ 2018,מס עתידי,9992985,משיכה,126.71,100,0,0,0,1412.27,0
30 בספט׳ 2018,מגן מס,9993983,הפקדה,126.71,100,0,0,0,1412.27,0
1 באוק׳ 2018,IWVL L   $ דולר,99028,הפקדה,7973.2,359.9,0,0,0,1412.27,77001
1 באוק׳ 2018,IWVL L   $ לקבל,99226,הפקדה,-7973.2,359.9,0,0,0,1412.27,77001
2 באוק׳ 2018,URTH US  ע.חברה,99028,מש/עמל,10,365,0,0,0,1412.27,77525
2 באוק׳ 2018,URTH U $התחיבות,99218,משיכה,7826.8,365,0,0,0,1412.27,77525
2 באוק׳ 2018,מס לשלם,9993983,משיכה,151.62,100,0,0,0,1412.27,0
2 באוק׳ 2018,ISHARES M(URTH),60323037,"ק/חו""ל",85,9208,0,0,0,1412.27,77525
4 באוק׳ 2018,URTH U   $ דולר,99028,משיכה,7826.8,365,0,0,0,1412.27,77525
4 באוק׳ 2018,URTH U $התחיבות,99218,משיכה,-7826.8,365,0,0,0,1412.27,77525
30 בנוב׳ 2018,30/11/18 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,1397.27,0
