תאריך,נייר/תנועה,מס' נייר/תנועה,פעולה,כמות,מחיר,זכות נטו,חובה נטו,עמלה,יתרה,אסמכתא
1 בינו׳ 2019,איפוס מגן מס,9993983,משיכה,8.83,100,0,0,0,1382.27,9993983
4 בינו׳ 2019,URTH US    /דיב,99028,הפ/דיב,5.14,372,0,0,0,1382.27,0
4 בינו׳ 2019,URTH US    /מסח,99028,מש/מסח,1.29,372,0,0,0,1382.27,0
31 בינו׳ 2019,31/01/19 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,1367.27,0
31 בינו׳ 2019,מגן מס,9992983,הפקדה,3.74,100,0,0,0,1367.27,0
28 בפבר׳ 2019,28/02/19 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,1352.27,0
28 בפבר׳ 2019,מגן מס,9992983,הפקדה,3.75,100,0,0,0,1352.27,0
31 במרץ 2019,31/03/19 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,1337.27,0
31 במרץ 2019,מגן מס,9992983,הפקדה,3.75,100,0,0,0,1337.27,0
23 באפר׳ 2019,זיכוי  בגין הצהרה על נהנה,900,העברה,0,0,15,0,0,1352.27,0
23 באפר׳ 2019,124799 ביטול טופס,900,העברה,0,0,-15,0,0,1337.27,0
23 באפר׳ 2019,זיכוי בגין הצהרה על נהנה,900,ד.טפול,0,0,15,0,0,1352.27,0
30 באפר׳ 2019,30/04/19 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,1337.27,0
31 במאי 2019,31/05/19 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,1322.27,0
31 במאי 2019,מגן מס,9992983,הפקדה,3.75,100,0,0,0,1322.27,0
21 ביוני 2019,URTH US    /דיב,99028,הפ/דיב,103.17,359.4,0,0,0,1322.27,0
21 ביוני 2019,URTH US    /מסח,99028,מש/מסח,25.79,359.4,0,0,0,1322.27,0
30 ביוני 2019,30/06/19 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,1307.27,0
30 ביוני 2019,מגן מס,9992983,הפקדה,3.75,100,0,0,0,1307.27,0
11 ביולי 2019,14  הפקדה לבנק,900,העברה,0,0,30000,0,0,31307.27,154728
25 ביולי 2019,2-5 קסם גליל,5113329,קניה,2717,115.86,0,3152.92,5,28154.35,5555
25 ביולי 2019,"125 תכלית ת""א",5114657,קניה,2751,132.67,0,3654.75,5,24499.6,5555
25 ביולי 2019,SP 500.IBI,5117601,קניה,3352,212.94,0,7143.46,5.71,17356.14,5555
25 ביולי 2019,SP 500.IBI,5117601,קניה,3352,211.74,0,7103.2,5.68,10252.94,0
25 ביולי 2019,SP 500.IBI,5117601,קניה,-3352,212.94,0,-7143.46,-5.71,17396.4,0
25 ביולי 2019,MSCI EM.IBI,5119318,קניה,4394,108.97,0,4793.14,5,12603.26,5555
25 ביולי 2019,MSCI EM.IBI,5119318,קניה,4394,107.97,0,4749.2,5,7854.06,0
25 ביולי 2019,MSCI EM.IBI,5119318,קניה,-4394,108.97,0,-4793.14,-5,12647.2,0
25 ביולי 2019,SOLUSREIT.IBI,5122692,קניה,2047,116.41,0,2387.91,5,10259.29,5555
25 ביולי 2019,SOLUSREIT.IBI,5122692,קניה,2047,115.76,0,2374.61,5,7884.68,0
25 ביולי 2019,SOLUSREIT.IBI,5122692,קניה,-2047,116.41,0,-2387.91,-5,10272.59,0
25 ביולי 2019,2-5 מח שחר MTF,5122973,קניה,2378,104.39,0,2487.39,5,7785.2,5555
29 ביולי 2019,RUSS2000.MTF,1150242,ק/רצף,152,4725,0,7188.46,6.46,596.74,1150242
31 באוג׳ 2019,31/08/19 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,581.74,0
31 באוג׳ 2019,מגן מס,9992983,הפקדה,3.75,100,0,0,0,581.74,0
30 בספט׳ 2019,30/09/19 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,566.74,0
30 בספט׳ 2019,מגן מס,9992983,הפקדה,3.75,100,0,0,0,566.74,0
31 באוק׳ 2019,31/10/19 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,551.74,0
31 באוק׳ 2019,מגן מס,9992983,הפקדה,3.75,100,0,0,0,551.74,0
30 בנוב׳ 2019,30/11/19 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,536.74,0
30 בנוב׳ 2019,מגן מס,9992983,הפקדה,3.75,100,0,0,0,536.74,0
20 בדצמ׳ 2019,URTH US    /דיב,99028,הפ/דיב,77.79,347.7,0,0,0,536.74,0
20 בדצמ׳ 2019,URTH US    /מסח,99028,מש/מסח,19.45,347.7,0,0,0,536.74,0
31 בדצמ׳ 2019,31/12/19 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,521.74,0
31 בדצמ׳ 2019,מגן מס,9992983,הפקדה,3.75,100,0,0,0,521.74,0
