תאריך,נייר/תנועה,מס' נייר/תנועה,פעולה,כמות,מחיר,זכות נטו,חובה נטו,עמלה,יתרה,אסמכתא
18 בדצמ׳ 2017,RUSSEL 2000 MTF,5118344,מכירה,-4745,149.61,-7093.31,0,-5.68,12196.44,0
18 בדצמ׳ 2017,RUSSEL 2000 MTF,5118344,מכירה,4745,152.9,7249.31,0,5.8,19445.75,0
18 בדצמ׳ 2017,איביאי ריט ארהב,5122692,קניה,4398,115.61,0,5089.53,5,14356.22,5555
18 בדצמ׳ 2017,איביאי ריט ארהב,5122692,קניה,-4398,115.61,0,-5089.53,-5,19445.75,0
18 בדצמ׳ 2017,איביאי ריט ארהב,5122692,קניה,4398,117.56,0,5175.29,5,14270.46,0
18 בדצמ׳ 2017,2ר.קבע5-2 ס MTF,5122973,קניה,6819,102.68,0,7007.35,5.6,7263.11,5555
18 בדצמ׳ 2017,מס עתידי,9992985,משיכה,45.31,100,0,0,0,7263.11,0
18 בדצמ׳ 2017,ISHARES E(IWVL),60430493,"ק/חו""ל",62,3183,0,0,0,7263.11,77001
19 בדצמ׳ 2017,מס לשלם,9992983,משיכה,83.45,100,0,0,0,7263.11,0
19 בדצמ׳ 2017,מס עתידי,9992985,הפקדה,45.31,100,0,0,0,7263.11,0
20 בדצמ׳ 2017,B USD/ILS 3.526,99028,קניה,2003.46,352.68,0,7065.77,0,197.34,0
20 בדצמ׳ 2017,IWVL L   $ דולר,99028,משיכה,1973.46,351.3,0,0,0,197.34,77001
20 בדצמ׳ 2017,IWVL L $התחיבות,99218,משיכה,-1973.46,351.3,0,0,0,197.34,77001
31 בדצמ׳ 2017,31/12/17 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,182.34,0
31 בדצמ׳ 2017,31/12/17 ביטול דמי שימוש שגוי,900,ד.טפול,0,0,0,-15,0,197.34,0
31 בדצמ׳ 2017,17  -מס תקבולים,9992975,מכירה,0.63,100,0.63,0,0,197.97,9992975
31 בדצמ׳ 2017,מס ששולם,9992983,קניה,66.82,100,0,66.82,0,131.15,0
